Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Location,location_area,Price_in_Cr,is_commercial,is_residential,Price_per_sqft,floor_level
Offering 1500 Sq Ft Flat For Sale In Niketan,3.0,3.0,1.0,vacant,1500.0,dhaka,"Block C, Niketan",niketan,2.5,0.0,1.0,16666.67,low
Pleasant 1410 Sq Ft Residential Apartment For Sale In Shantinagar,3.0,3.0,4.0,vacant,1410.0,dhaka,"Vashani Goli, Shantinagar",shantinagar,1.38,0.0,1.0,9787.23,medium
A Standard Lifestyle Is Awaiting You In This 650 Square Feet Flat Up For Sale In Sutrapur,2.0,2.0,5.0,vacant,650.0,dhaka,"Gandaria, Sutrapur",sutrapur,0.4,0.0,1.0,6153.85,medium
A Flat With All Facilities Is Up For Sale At West Shewrapara Near Baitul Arafa Masjid,3.0,2.0,2.0,vacant,1220.0,dhaka,"West Shewrapara, Mirpur",mirpur,0.5,0.0,1.0,4098.36,low
1240 Square Feet Flat For Sale In The Location Of Shah Ali Bag,3.0,3.0,5.0,vacant,1240.0,dhaka,"Section 1, Mirpur",mirpur,0.73,0.0,1.0,5887.1,medium
1700 Sq.Ft. Apartment For Sale In Dakshin Khan Close To Nogoriabari Mohammadia Jame Masjid,3.0,3.0,5.0,vacant,1700.0,dhaka,"South Chalabon, Dakshin Khan",dakshin khan,0.65,0.0,1.0,3823.53,medium
Flat For Sale Covering A Beautiful Area In West Agargaon Nearby Momataj Memorial High School,3.0,3.0,1.0,vacant,1400.0,dhaka,"West Agargaon, Agargaon",agargaon,0.85,0.0,1.0,6071.43,low
Residential Apartment Is For Sale In Mirpur Nearby Baitul Jannah Jame Masjid And Madrasha Complex,3.0,3.0,1.0,vacant,1050.0,dhaka,"Section 6, Mirpur",mirpur,0.47,0.0,1.0,4476.19,low
Nice 1240 Sq Ft Flat Is Available For Sale In Dakkhin Paikpara,3.0,3.0,8.0,vacant,1240.0,dhaka,"Dakkhin Paikpara, Mirpur",mirpur,0.87,0.0,1.0,7016.13,medium
1504 Sq Ft Flat Is For Sale In The Thriving Arena Of Keraniganj,3.0,3.0,1.0,vacant,1504.0,dhaka,Keraniganj,,0.71,0.0,1.0,4720.74,low
Find 750 Sq Ft Flat Available For Sale In Kadamtali,2.0,2.0,5.0,vacant,750.0,dhaka,"Kadamtali, Shyampur",shyampur,0.4,0.0,1.0,5333.33,medium
"Buy This Nice 750 Sq Ft Flat In Kadamtali, To Fulfill Your Wish",2.0,2.0,7.0,vacant,750.0,dhaka,"Kadamtali, Shyampur",shyampur,0.35,0.0,1.0,4666.67,medium
Worthy 1585 SQ FT residence is for sale at Aftab Nagar,3.0,5.0,2.0,vacant,1585.0,dhaka,"Block C, Aftab Nagar",aftab nagar,1.4,0.0,1.0,8832.81,low
1485 Sq ft Apartment with 3 bedrooms For Sale in Mohammadpur,3.0,3.0,8.0,vacant,1485.0,dhaka,"Jahuri Moholla, Mohammadpur",mohammadpur,1.32,0.0,1.0,8888.89,medium
"1545 Sq Ft Flat With 3 Modest Bedrooms For Sale In Mirpur-2, Block C",3.0,3.0,5.0,vacant,1545.0,dhaka,"Section 2, Mirpur",mirpur,1.4,0.0,1.0,9061.49,medium
Completely suitable and ready flat of 1050 SQ FT for Sale in Kallyanpur,3.0,3.0,6.0,vacant,1050.0,dhaka,"Kallyanpur, Mirpur",mirpur,0.82,0.0,1.0,7809.52,medium
"Near Rampura Thana, 900 Sq.ft And 2 Bedroom Flat For Sale In West Rampura",2.0,2.0,5.0,vacant,900.0,dhaka,"West Rampura, Rampura",rampura,0.41,0.0,1.0,4555.56,medium
1340 Sq.ft Apartment Is For Sale Close To Muslim para Jame Masjid At Madhya Ajampur,3.0,3.0,3.0,vacant,1340.0,dhaka,"Madhya Ajampur, Dakshin Khan",dakshin khan,0.62,0.0,1.0,4626.87,low
"1400 Sq Ft Flat With 3 Bedrooms Is Up For Sale In Mohammadpur, Mohammadia Housing Society",3.0,3.0,7.0,vacant,1400.0,dhaka,"Mohammadia Housing Society, Mohammadpur",mohammadpur,1.15,0.0,1.0,8214.29,medium
A Nicely Build 1275 Sq Ft And 3 Bedroom Apartment Is Vacant For Sale In Uttar Badda .,3.0,3.0,3.0,vacant,1275.0,dhaka,"Uttar Badda, Badda",badda,0.8,0.0,1.0,6274.51,low
"Spacious Office Space Of 1245 Sq Ft Is Waiting For sale In Block C, Niketan",,,3.0,vacant,1245.0,dhaka,"Block C, Niketan",niketan,1.55,1.0,0.0,12449.8,low
"An Apartment Is Up For Sale In Ibrahimpur, Near Ibrahimpur Central Jame Masjid.",2.0,2.0,5.0,vacant,1050.0,dhaka,"North Ibrahimpur, Ibrahimpur",ibrahimpur,0.48,0.0,1.0,4571.43,medium
A Decent Apartment In Mohakhali Near Jabala ICDDRB Is Up For Sale,2.0,2.0,5.0,vacant,850.0,dhaka,"Dakhshin Para, Mohakhali",mohakhali,0.55,0.0,1.0,6470.59,medium
Flat For Sale In West Agargaon Nearby Bangladesh Public Service Commission,3.0,4.0,2.0,vacant,1440.0,dhaka,"West Agargaon, Agargaon",agargaon,0.73,0.0,1.0,5069.44,low
"You Can Move Into This Well Planned And Comfortable Residential Flat In Uttara Sector 11 For Sale , Of 948 Sq Ft, Near Shaheed Monsur Ali Medical College And Hospital",2.0,3.0,5.0,vacant,948.0,dhaka,"Sector 11, Uttara",uttara,0.7,0.0,1.0,7383.97,medium
Stunning 2644 Square Feet Apartment For Sale In Gulshan 1,4.0,4.0,5.0,vacant,2644.0,dhaka,"Gulshan 1, Gulshan",gulshan,3.5,0.0,1.0,13237.52,medium
Convenient 800 Square Feet Apartment For Sale In Dhanmondi,2.0,2.0,6.0,vacant,800.0,dhaka,"North Circular Road, Dhanmondi",dhanmondi,0.7,0.0,1.0,8750.0,medium
A 2000 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Bashundhara R-a,4.0,4.0,5.0,vacant,2000.0,dhaka,"Block B, Bashundhara R-A",bashundhara,2.2,0.0,1.0,11000.0,medium
"1593 Sq Ft Nicely Planned Apartment Is Available For Sale In Lalmatia, Block B",3.0,3.0,4.0,vacant,1593.0,dhaka,"Block B, Lalmatia",lalmatia,2.15,0.0,1.0,13496.55,medium
A 1220 Sq Ft Home Is Available To Sale In West Shewrapara,3.0,2.0,6.0,vacant,1220.0,dhaka,"West Shewrapara, Mirpur",mirpur,0.5,0.0,1.0,4098.36,medium
