Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Location,location_area,Price_in_Cr,is_commercial,is_residential,Price_per_sqft,floor_level
"930 Sq Ft Flat For Sale In Mirpur, Middle Monipur, Baitur Rowshan Jame Masjid Road",2.0,2.0,1.0,vacant,930.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.52,0.0,1.0,5591.4,low
Acquire This 930 Sq Ft With 2 Bedrooms Flat Which Is Up For Sale In Middle Monipur Beside To Baitur Rowshan Jame Masjid .,2.0,2.0,3.0,vacant,930.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.52,0.0,1.0,5591.4,low
2400 Sq Ft Ready Flat For Sale In Uttara-7,4.0,4.0,9.0,vacant,2400.0,dhaka,"Sector 7, Uttara",uttara,2.6,0.0,1.0,10833.33,high
"1400 Sq Ft Apartment For Sale In Ak Fazlul Haque Babu Rd, East Kazipara, Mirpur",3.0,3.0,4.0,vacant,1400.0,dhaka,"East Kazipara, Mirpur",mirpur,0.63,0.0,1.0,4500.0,medium
"Make this 1310 SQ FT flat your next residing location, which is up for sale in Mirpur",3.0,3.0,7.0,vacant,1310.0,dhaka,"Kallyanpur, Mirpur",mirpur,0.92,0.0,1.0,7022.9,medium
Graceful Flat Of 850 Sq Ft Is Prepared For Sale In Pallabi Eastern Housing.,2.0,2.0,5.0,vacant,850.0,dhaka,"Pallabi, Mirpur",mirpur,0.25,0.0,1.0,2941.18,medium
A Modern Well-planned Flat Of 1256 Sq Ft Is Up For Sale Is Situated In Aftab Nagar,3.0,2.0,5.0,vacant,1256.0,dhaka,"Block H, Aftab Nagar",aftab nagar,0.65,0.0,1.0,5175.16,medium
We Have A 1200 Sq.Ft -3 Bedroom Flat For Sale In Uttar Badda Nearby AMZ Hospital Ltd.,3.0,3.0,9.0,vacant,1200.0,dhaka,"Uttar Badda, Badda",badda,0.6,0.0,1.0,5000.0,high
Comfortable And Nicely Planned 1530 Sq Ft Flat In Shegunbagicha For Sale,3.0,3.0,9.0,vacant,1530.0,dhaka,"Topkhana Road, Shegunbagicha",shegunbagicha,1.55,0.0,1.0,10130.72,high
"This 650 Sq Ft Apartment For Sale In Mirpur Section 12, Next To Doctor Muhammad Shahidullah Adarsha Uchcha Madhyamik Bidyapith.",2.0,2.0,4.0,vacant,650.0,dhaka,"Section 12, Mirpur",mirpur,0.46,0.0,1.0,7076.92,medium
"Start a new home, in this 2150 SQ FT apartment for sale in Bashundhara R-A",3.0,3.0,8.0,vacant,2150.0,dhaka,"Block C, Bashundhara R-A",bashundhara,1.85,0.0,1.0,8604.65,medium
1316 Sq Ft Fine Flat Is Now For Sale Which Is In Bashundhara R/a Near To Iub,3.0,4.0,3.0,vacant,1316.0,dhaka,"Block C, Bashundhara R-A",bashundhara,1.35,0.0,1.0,10258.36,low
A rightly planned 1325 SQ FT flat is found for sale in Mirpur near Islami Bank Hospital,3.0,3.0,5.0,vacant,1325.0,dhaka,"Section 11, Mirpur",mirpur,0.65,0.0,1.0,4905.66,medium
"Make This 1852 Sq Ft Flat For Sale, Your Residing Location, In Bashundhara R/A Near JFP",3.0,3.0,5.0,vacant,1852.0,dhaka,"Block A, Bashundhara R-A",bashundhara,2.15,0.0,1.0,11609.07,medium
1210 Square Feet Apartment Is For Sale At Maghbazar,3.0,3.0,1.0,vacant,1210.0,dhaka,"Boro Maghbazar, Maghbazar",maghbazar,0.6,0.0,1.0,4958.68,low
1654 SFT Three Bedroom Apartment | Vacant Now | Ready To Move in Uttara,3.0,4.0,5.0,vacant,1654.0,dhaka,"Sector 18, Uttara",uttara,1.1,0.0,1.0,6650.54,medium
"1275 Square Feet Flat Is Available For Sale In Bashundhara R-a, Block J",3.0,3.0,6.0,vacant,1275.0,dhaka,"Block J, Bashundhara R-A",bashundhara,1.25,0.0,1.0,9803.92,medium
"Best Location For Your Office, This 2600 Sq Ft Business Space Is Ready To Sale At Outer Circular Road, Shiddheswari",,,8.0,vacant,2600.0,dhaka,"Outer Circular Road, Shiddheswari",shiddheswari,4.29,1.0,0.0,16500.0,medium
"Dwell In This 1955 Sq Ft Apartment, Which Is Now Up For Sale In Shiddheswari",4.0,4.0,1.0,vacant,1955.0,dhaka,"Shiddeswari Road, Shiddheswari",shiddheswari,2.52,0.0,1.0,12890.03,low
"1609 Sq Ft Suitable Apartment For Sale In Banasree, Block H",3.0,3.0,2.0,vacant,1609.0,dhaka,"Block H, Banasree",banasree,1.28,0.0,1.0,7955.25,low
This Flat Is Up For Sale At Shahjadpur Near Bangladesh Institute Of Management Studies,3.0,3.0,6.0,vacant,1500.0,dhaka,"Shahjadpur, Badda",badda,1.28,0.0,1.0,8533.33,medium
1207 SQ FT flat is now for sale in Badda near to Southeast Bank,3.0,3.0,6.0,vacant,1207.0,dhaka,"Shahjadpur, Badda",badda,1.29,0.0,1.0,10687.66,medium
A Fine Flat Is Now For Sale Which Is In Agargaon Near Agargaon Taltola Colony High School &amp; Womens&#039; College,3.0,3.0,5.0,vacant,1400.0,dhaka,Agargaon,,0.65,0.0,1.0,4642.86,medium
An Apartment Is Up For Sale In Kallyanpur.,3.0,3.0,4.0,vacant,1430.0,dhaka,"Kallyanpur, Mirpur",mirpur,0.86,0.0,1.0,6013.99,medium
Flat For Sale In Arambag R/a Near Al Arabia Jame Masjid And Madrasa,3.0,3.0,8.0,vacant,1310.0,dhaka,"Arambag Residential Area, Mirpur",mirpur,0.72,0.0,1.0,5496.18,medium
Check this apartment for sale at Mirpur near Shahidbag Masjid,2.0,2.0,5.0,vacant,650.0,dhaka,"Section 12, Mirpur",mirpur,0.22,0.0,1.0,3384.62,medium
"850 Sq Ft Flat For Sale In Taltola, Khilgaon",2.0,2.0,2.0,vacant,850.0,dhaka,"Taltola, Khilgaon",khilgaon,0.55,0.0,1.0,6470.59,low
See this amazing office space in Uttara near to City Bank Limited,,,10.0,vacant,3100.0,dhaka,"Sector 3, Uttara",uttara,4.65,1.0,0.0,15000.0,high
Reasonable 1600 Sq Ft Flat Is Available For Sale In Badda Near To Badda Post Office,4.0,3.0,4.0,vacant,1600.0,dhaka,"Middle Badda, Badda",badda,1.2,1.0,0.0,7500.0,medium
1375 Sq. Ft. flat is now up for sale located in Mirpur DOHS,3.0,3.0,1.0,vacant,1375.0,dhaka,"Mirpur DOHS, Mirpur",mirpur,1.2,0.0,1.0,8727.27,low
"A Nicely Build 1050 Sq Ft Apartment Is Vacant For Sale In Mirpur, Turag City",2.0,2.0,1.0,vacant,1050.0,dhaka,"Section 1, Mirpur",mirpur,0.55,0.0,1.0,5238.1,low
Acquire This 130 Sq Ft Shop Which Is Up For Sale In Nikunja 2,,,2.0,vacant,130.0,dhaka,"Nikunja 2, Nikunja",nikunja,0.42,1.0,0.0,32307.69,low
Be The Owner Of This 1450 Sq Ft Flat Which Is Vacant Now For Sale At West Shewrapara Nearby North South International School,3.0,3.0,9.0,vacant,1450.0,dhaka,"West Shewrapara, Mirpur",mirpur,0.87,0.0,1.0,6000.0,high
"Situated In West Shewrapara, Near North South International School, A 1400 Sq Ft Apartment Is Up For Sale",3.0,3.0,7.0,vacant,1400.0,dhaka,"West Shewrapara, Mirpur",mirpur,0.84,0.0,1.0,6000.0,medium
"Near Shewrapara Jame Masjid, A Blissful Flat Is Available For Sale In West Shewrapara",3.0,3.0,2.0,vacant,1180.0,dhaka,"West Shewrapara, Mirpur",mirpur,0.65,0.0,1.0,5508.47,low
"A 780 Sq Ft Flat Can Be Found In Bank Colony For Sale, Near Happy Isle International School",2.0,2.0,3.0,vacant,780.0,dhaka,"Bank Colony, Savar",savar,0.27,0.0,1.0,3461.54,low
In Mirpur 1100 SQ FT flat is available for sale which is now close to Life Aid Specialized Hospital,3.0,2.0,7.0,vacant,1100.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.5,0.0,1.0,4545.45,medium
Reasonable 1100 SQ FT flat is available for sale in Mirpur near to Life Aid Specialized Hospital,3.0,2.0,5.0,vacant,1100.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.5,0.0,1.0,4545.45,medium
"Choose your destination, 1100 SQ FT flat which is available for sale in Mirpur near to Life Aid Specialized Hospital",3.0,2.0,4.0,vacant,1100.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.5,0.0,1.0,4545.45,medium
Ready 1100 SQ FT flat is now for sale in Mirpur nearby Life Aid Specialized Hospital,3.0,2.0,3.0,vacant,1100.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.5,0.0,1.0,4545.45,low
1100 SQ FT flat is now for sale in Mirpur near to Life Aid Specialized Hospital,3.0,2.0,3.0,vacant,1100.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.5,0.0,1.0,4545.45,low
"Get Ready For Your Countless Peaceful Days With This 1096 Sq Ft Flat At 1st Colony, Mirpur Is Up To Sale",3.0,3.0,13.0,vacant,1096.0,dhaka,"1st Colony, Mirpur",mirpur,0.66,0.0,1.0,6021.9,high
1365 Sq Ft Flat With Important Residential Features Is For Sale In Mirpur-10,3.0,3.0,3.0,vacant,1365.0,dhaka,"Section 10, Mirpur",mirpur,0.75,0.0,1.0,5494.51,low
1365 Sq Ft Flat With Fine Residential Properties Is For Sale In Mirpur-10,3.0,3.0,5.0,vacant,1365.0,dhaka,"Section 10, Mirpur",mirpur,0.75,0.0,1.0,5494.51,medium
1365 Sq Ft Flat With Modern Residential Approaches Is For Sale In Mirpur-10,3.0,3.0,5.0,vacant,1365.0,dhaka,"Section 10, Mirpur",mirpur,0.75,0.0,1.0,5494.51,medium
A well-constructed 2415 SQ FT flat is for sale in Bashundhara R-A,3.0,4.0,6.0,vacant,2415.0,dhaka,"Block A, Bashundhara R-A",bashundhara,2.55,0.0,1.0,10559.01,medium
"An Adequate And Cozy 810 Sq.Ft Flat Is For Sale At West Kazipara, Near Baitur Rob Jaame Masjid",2.0,2.0,3.0,vacant,810.0,dhaka,"West Kazipara, Mirpur",mirpur,0.34,0.0,1.0,4197.53,low
"Well-developed Residence up for sale in Bashundhara R-A, of 1550 SQ FT",3.0,3.0,3.0,vacant,1550.0,dhaka,"Block H, Bashundhara R-A",bashundhara,1.15,0.0,1.0,7419.35,low
Take A Look At This 1050 Square Feet And 3 Bedroom Residential Apartment For Sale At East Monipur Next To Kuwaiti Masjid,3.0,3.0,7.0,vacant,1050.0,dhaka,"East Monipur, Mirpur",mirpur,0.38,0.0,1.0,3619.05,medium
"4200 Sq Ft Flat With Updated Residential Features Is Up For Sale In Bashundhara, Block I",4.0,4.0,4.0,vacant,4200.0,dhaka,"Block I, Bashundhara R-A",bashundhara,5.04,0.0,1.0,12000.0,medium
Express Your Individuality At This 1400 Sq.ft Apartment Which Is Vacant For Sale In The Location Of South Monipur .,3.0,3.0,4.0,vacant,1400.0,dhaka,"South Monipur, Mirpur",mirpur,0.63,0.0,1.0,4500.0,medium
For Selling Purpose This Flat Is Now Vacant In The Location Of South Monipur .,3.0,3.0,9.0,vacant,1400.0,dhaka,"South Monipur, Mirpur",mirpur,0.63,0.0,1.0,4500.0,high
Buy This Flat At South Monipur For The Ideal Urban Lifestyle You Dream About.,2.0,2.0,6.0,vacant,1000.0,dhaka,"South Monipur, Mirpur",mirpur,0.45,0.0,1.0,4500.0,medium
Close To Mirpur 10 Block C Water Tank A 1518 Square Feet Residential Apartment For Sale,4.0,3.0,6.0,vacant,1518.0,dhaka,"Section 10, Mirpur",mirpur,1.0,0.0,1.0,6587.62,medium
Worthy 1250 SQ FT Nice home is ready for sale at Mirpur 15,4.0,4.0,8.0,vacant,1250.0,dhaka,"Section 15, Mirpur",mirpur,1.25,0.0,1.0,10000.0,medium
2230 Sq Ft Ready Flat For Sale In Bashundhara R-a,4.0,4.0,5.0,vacant,2230.0,dhaka,"Block I, Bashundhara R-A",bashundhara,1.6,0.0,1.0,7174.89,medium
Grab This 1200 Sq Ft Apartment Available For Sale In Joar Sahara,3.0,2.0,3.0,vacant,1200.0,dhaka,"Lichu Bagan Road, Joar Sahara",joar sahara,0.65,0.0,1.0,5416.67,low
A Newly Constructed Apartment In North Pirerbag Is Available For Sale Which Is 1050 Sq Ft,3.0,3.0,1.0,vacant,1050.0,dhaka,"Pirerbag, Mirpur",mirpur,0.45,0.0,1.0,4285.71,low
Tastefully Designed This 650 Sq Ft Home Is Now Vacant For Sale In Mirpur,2.0,2.0,2.0,vacant,650.0,dhaka,"Section 10, Mirpur",mirpur,0.42,0.0,1.0,6461.54,low
Attention Home Finders! A 1400 Sq.ft Flat Is Up For Sale In West Shewrapara Close To North South International School.,3.0,3.0,3.0,vacant,1400.0,dhaka,"West Shewrapara, Mirpur",mirpur,0.63,0.0,1.0,4500.0,low
Very Next To North South International School 1400 Square Feet Large Apartment Is For Sale At West Shewrapara.,3.0,3.0,5.0,vacant,1400.0,dhaka,"West Shewrapara, Mirpur",mirpur,0.63,0.0,1.0,4500.0,medium
In The Fine Location Of South Monipur A 1000 Sq Ft Apartment Is All Set For Sale,2.0,2.0,2.0,vacant,1000.0,dhaka,"South Monipur, Mirpur",mirpur,0.45,0.0,1.0,4500.0,low
"A Finely Built 1090 Sq Ft Flat Is Up For Sale In Ali And Nur Real Estate, Mohammadpur",3.0,3.0,3.0,vacant,1090.0,dhaka,"Ali And Nur Real Estate, Mohammadpur",mohammadpur,0.65,0.0,1.0,5963.3,low
"Plan to move in this 1463 SQ FT flat which is up for sale in Mirpur, 2nd Colony",3.0,3.0,3.0,vacant,1463.0,dhaka,"2nd Colony, Mirpur",mirpur,0.59,0.0,1.0,4032.81,low
A well-constructed 1650 SQ FT flat is for sale in Bochila,3.0,3.0,1.0,vacant,1650.0,dhaka,"Bochila, Mohammadpur",mohammadpur,0.75,0.0,1.0,4545.45,low
A 1125 Sq Ft Flat Can Be Found In Dakshin Khan For Sale,3.0,2.0,3.0,vacant,1125.0,dhaka,"Faydabad, Dakshin Khan",dakshin khan,0.48,0.0,1.0,4266.67,low
A Decent 1125 Sq Ft Flat Which Is Now For Sale In Dakshin Khan,3.0,2.0,3.0,vacant,1125.0,dhaka,"Faydabad, Dakshin Khan",dakshin khan,0.48,0.0,1.0,4266.67,low
Nice Flat Of 1150 Sq Ft Can Be Found In Dakshin Khan To Sale,3.0,2.0,8.0,vacant,1150.0,dhaka,"Faydabad, Dakshin Khan",dakshin khan,0.49,0.0,1.0,4260.87,medium
This 2 Bedroom Home In Faydabad Is Up For Sale In A Wonderful Neighborhood,2.0,2.0,5.0,vacant,600.0,dhaka,"Faydabad, Dakshin Khan",dakshin khan,0.26,0.0,1.0,4333.33,medium
650 Sq. Ft. Residential Apartment Is On Sale In Mirpur Near Pallabi Police Station,2.0,2.0,5.0,vacant,650.0,dhaka,"Section 12, Mirpur",mirpur,0.22,0.0,1.0,3384.62,medium
Are you in hurry? No worries! You Can Take This 1250 Sq Ft Flat for Sale in East Shewrapara,3.0,3.0,4.0,vacant,1250.0,dhaka,"East Shewrapara, Mirpur",mirpur,0.9,0.0,1.0,7200.0,medium
Buy This 1250 Square Feet Apartment In Baitul Aman Housing Society,3.0,3.0,6.0,vacant,1250.0,dhaka,"Baitul Aman Housing Society, Adabor",adabor,1.5,0.0,1.0,12000.0,medium
"A Rightly Planned 1350 Sq Ft Flat Is Found For Sale In East Hazipara, East Rampura",3.0,3.0,2.0,vacant,1350.0,dhaka,"East Rampura, Rampura",rampura,1.1,0.0,1.0,8148.15,low
"Dwell In This 1350 Sq Ft Flat Up For Sale In Mohammadpur, Katashur",3.0,3.0,9.0,vacant,1350.0,dhaka,"Katashur, Mohammadpur",mohammadpur,0.9,0.0,1.0,6666.67,high
This 1250 Sq Ft Well Defined Flat Is Now Vacant To Sale In Pirerbag,3.0,3.0,8.0,vacant,1250.0,dhaka,"Pirerbag, Mirpur",mirpur,0.7,0.0,1.0,5600.0,medium
2500 Square Feet Flat For Sale In Bashundhara R-a,4.0,5.0,7.0,vacant,2500.0,dhaka,"Block K, Bashundhara R-A",bashundhara,2.25,0.0,1.0,9000.0,medium
Best Location Mirpur | Spacious And Bright 3 Bedroom 1100 Sq Ft Apt. | For Sale,3.0,3.0,5.0,vacant,1100.0,dhaka,"Ahmed Nagar, Mirpur",mirpur,0.61,0.0,1.0,5545.45,medium
Promising Under-construction 1100 Sq Ft Apartment For Sale In Mirpur,3.0,3.0,4.0,vacant,1100.0,dhaka,"Ahmed Nagar, Mirpur",mirpur,0.61,0.0,1.0,5545.45,medium
"2500 SFT 4 bed Apartment is ready to sale in Bashundhara R-A, Dhaka",4.0,4.0,6.0,vacant,2500.0,dhaka,"Block K, Bashundhara R-A",bashundhara,2.25,0.0,1.0,9000.0,medium
"1900 Sq Ft Apartment Is Ready For Sale In Adabor, Dhaka Housing Main Road",3.0,4.0,9.0,vacant,1900.0,dhaka,"Dhaka Housing Main Road, Adabor",adabor,1.24,0.0,1.0,6526.32,high
5000 Sq Ft Office Is Available To Sale In Kathalbagan With Satisfactory Price.,,,1.0,vacant,5000.0,dhaka,"Free School Street, Kathalbagan",kathalbagan,7.25,1.0,0.0,14500.0,low
"Spacious 5000 Sq Ft Commercial Office For Sale In Free School Street Road, Kathalbagan, Dhaka",,,1.0,vacant,5000.0,dhaka,"Free School Street, Kathalbagan",kathalbagan,7.25,1.0,0.0,14500.0,low
"1910 Sq Ft Commercial Space For Sale In Banasree, Block J",,,1.0,vacant,1910.0,dhaka,"Block J, Banasree",banasree,2.29,1.0,0.0,11989.53,low
Visit 1308 Sq Ft Residential Flat For Sale In Mirpur,3.0,3.0,1.0,vacant,1308.0,dhaka,"Section 2, Mirpur",mirpur,0.66,0.0,1.0,5045.87,low
A Very Well Fitted 2268 Sq Ft Business Space Is Up For Sale In Dhanmondi,,,4.0,vacant,2268.0,dhaka,"Road No 5, Dhanmondi",dhanmondi,4.7,0.0,1.0,20723.1,medium
Here Is A Well Defined Flat Of 780 Sq Ft Waiting For Sale At Rupnagar R/A,2.0,2.0,1.0,vacant,780.0,dhaka,"Rupnagar R/A, Mirpur",mirpur,0.4,0.0,1.0,5128.21,low
1515 Sq Ft Residential Apartment For Sale In Banasree Block G,3.0,4.0,9.0,vacant,1515.0,dhaka,"Block G, Banasree",banasree,1.29,0.0,1.0,8514.85,high
Spacious 2500 SFT Commercial Space For Sale In Banasree Block G,,,1.0,vacant,2500.0,dhaka,"Block G, Banasree",banasree,3.5,1.0,0.0,14000.0,low
Offering You A 1370 Sq Ft Flat For Sale In Mirpur-2,3.0,3.0,1.0,vacant,1370.0,dhaka,"Section 2, Mirpur",mirpur,0.85,0.0,1.0,6204.38,low
"1260 Square Feet Flat Is Available For Sale In Bashundhara R-a, Block K",3.0,3.0,5.0,vacant,1260.0,dhaka,"Block K, Bashundhara R-A",bashundhara,1.07,0.0,1.0,8492.06,medium
"Grab This 1500 Square Feet Flat Available For Sale In Bashundhara R-a, Block K",3.0,3.0,3.0,vacant,1500.0,dhaka,"Block K, Bashundhara R-A",bashundhara,1.27,0.0,1.0,8466.67,low
1750 Sq Ft Residential Flat For Sale In Uttara-12,3.0,3.0,2.0,vacant,1750.0,dhaka,"Sector 12, Uttara",uttara,1.92,0.0,1.0,10971.43,low
1750 Sq Ft Nice Flat For Sale In Uttara-12,3.0,3.0,1.0,vacant,1750.0,dhaka,"Sector 12, Uttara",uttara,1.92,0.0,1.0,10971.43,low
Offering You A 1070 Sq Ft Flat For Sale In Mohammadi Housing LTD,3.0,3.0,6.0,vacant,1070.0,dhaka,"Mohammadi Housing LTD., Mohammadpur",mohammadpur,0.75,0.0,1.0,7009.35,medium
A 970 Sq.Ft Apartment For sale Is All Set For You In East Bashabo Close To Agrani Bank Limited,3.0,2.0,6.0,vacant,970.0,dhaka,"East Bashabo, Bashabo",bashabo,0.5,0.0,1.0,5154.64,medium
Ready To Move in Dakshin Khan | 1475 SFT 3 bedroom Apt. | Well Maintained,3.0,3.0,9.0,vacant,1475.0,dhaka,"South Mollartek, Dakshin Khan",dakshin khan,0.88,0.0,1.0,5966.1,high
There Is 3 Bedroom Apartment Up For Sale In The Location Of Adabor Near Baitul Aman Housing Society Jame Mosque.,3.0,2.0,1.0,vacant,900.0,dhaka,"Baitul Aman Housing Society, Adabor",adabor,0.4,0.0,1.0,4444.44,low
1260 Sft Well Maintained Apartment For Sale At Mirpur Dhaka,3.0,3.0,4.0,vacant,1260.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.8,0.0,1.0,6349.21,medium
"1596 Sq Ft 3 Bed Apt. Is Available To Sale In Khilgaon, Dhaka",3.0,3.0,1.0,vacant,1596.0,dhaka,"Riazbag, Khilgaon",khilgaon,1.04,0.0,1.0,6516.29,low
Residential Apartment For Sale in Aftab Nagar | 1350 SFT Apt. | Well Maintained,3.0,3.0,2.0,vacant,1350.0,dhaka,"Block M, Aftab Nagar",aftab nagar,1.08,0.0,1.0,8000.0,low
"1657 Square Feet Residential Flat With 3 Bedrooms For Sale In Uttara, Sector 18",3.0,3.0,2.0,vacant,1657.0,dhaka,"Sector 18, Uttara",uttara,1.05,0.0,1.0,6336.75,low
980 Sq Ft Apartment Is Ready For Sale At Uttar Badda,2.0,2.0,2.0,vacant,980.0,dhaka,"Uttar Badda, Badda",badda,0.45,0.0,1.0,4591.84,low
Offering You A 1370 Sq Ft Flat For Sale In Uttar Badda,3.0,3.0,2.0,vacant,1370.0,dhaka,"Uttar Badda, Badda",badda,0.78,0.0,1.0,5693.43,low
"1420 Sqft Residential Speace Is For Sale, 1st Colony, Mazar Road , Mirpur-1",3.0,3.0,2.0,vacant,1420.0,dhaka,"1st Colony, Mirpur",mirpur,1.05,0.0,1.0,7394.37,low
"Get Ready To Buy This Ideally Maintained 2456 Sq Ft Apartment Located In Block K, Bashundhara R-A",4.0,4.0,8.0,vacant,2456.0,dhaka,"Block K, Bashundhara R-A",bashundhara,2.21,0.0,1.0,8998.37,medium
"Get A Look At This Lovely Flat For Sale Featuring 2500 Sq Ft In Block K, Bashundhara R-A",4.0,4.0,8.0,vacant,2500.0,dhaka,"Block K, Bashundhara R-A",bashundhara,2.25,0.0,1.0,9000.0,medium
Plan To Move In This 1599 Sq Ft Flat Which Is For Sale In Shahidbag,3.0,3.0,3.0,vacant,1599.0,dhaka,"Shahidbag, Malibagh",malibagh,1.6,0.0,1.0,10006.25,low
Offering You 2100 Sq Ft Flat For Sale In Pirerbag,8.0,6.0,3.0,vacant,2100.0,dhaka,"Pirerbag, Mirpur",mirpur,0.55,0.0,1.0,2619.05,low
Well Planned 1348 Sq Ft Flat For Sale In Aftab Nagar,3.0,3.0,1.0,vacant,1348.0,dhaka,"Block H, Aftab Nagar",aftab nagar,1.12,0.0,1.0,8308.61,low
"Look At This Nice 2225 Sq Ft Flat Is Up For Sale At Block I, Bashundhara R/A",4.0,4.0,3.0,vacant,2225.0,dhaka,"Block I, Bashundhara R-A",bashundhara,2.35,0.0,1.0,10561.8,low
For Selling Purposes 2255 Square Feet Flat With 3 Balconies Is Available In Uttara-1,3.0,4.0,7.0,vacant,2255.0,dhaka,"Sector 1, Uttara",uttara,2.2,0.0,1.0,9756.1,medium
A 3 Bedroom Apartment Is Up For Sale In Middle Monipur Near Monipur High School And College.,3.0,3.0,5.0,vacant,1200.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.54,0.0,1.0,4500.0,medium
3 Bedroom Apartment Is For Sale In Middle Monipur Near Monipur High School And College.,3.0,3.0,6.0,vacant,1200.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.54,0.0,1.0,4500.0,medium
Visit This Apartment For Sale In Middle Monipur Near Iqra International School,3.0,2.0,2.0,vacant,1100.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.5,0.0,1.0,4545.45,low
"A Nice Flat Of 1445 Sq Ft Is Ready For Sale In Kachukhet , Near Muslim Modern College",3.0,3.0,2.0,vacant,1445.0,dhaka,"Muslim Modern College Road, Kachukhet",kachukhet,0.69,0.0,1.0,4775.09,low
Visit This Apartment For Sale In West Shewrapara Near Baitun Noor Jame Masjid,3.0,3.0,4.0,vacant,1200.0,dhaka,"West Shewrapara, Mirpur",mirpur,0.5,0.0,1.0,4166.67,medium
"A Comfortably Planned Flat of 1,150 Sq. Ft. is up for Sale Now In Agargaon",3.0,2.0,8.0,vacant,1150.0,dhaka,"Kutum Goli, Agargaon",agargaon,0.63,0.0,1.0,5478.26,medium
In Agargaon 1150 SQ FT flat is available for sale which is now close to Momtaz Mansion Jame Masjid,3.0,2.0,3.0,vacant,1150.0,dhaka,"Kutum Goli, Agargaon",agargaon,0.63,0.0,1.0,5478.26,low
1050 Sq.Ft And 3 Bedroom Apartment For Sale In Ibrahimpur Near Ibrahimpur Central Jame Masjid,3.0,3.0,1.0,vacant,1050.0,dhaka,"Srjani road, Ibrahimpur",ibrahimpur,0.38,0.0,1.0,3619.05,low
"At Joar Sahara, flat for Sale close to DBBL ATM",3.0,2.0,1.0,vacant,1200.0,dhaka,"Lichu Bagan Road, Joar Sahara",joar sahara,0.55,0.0,1.0,4583.33,low
Visit This Apartment For Sale In Kallyanpur Near Kallyanpur Kazi Office.,4.0,3.0,1.0,vacant,1650.0,dhaka,"Kallyanpur, Mirpur",mirpur,1.0,1.0,0.0,6060.61,low
A Shop Is Up For Sale In Middle Badda Near IFIC Bank Limited.,,,,vacant,89.0,dhaka,"Middle Badda, Badda",badda,0.3,1.0,0.0,33707.87,
An Apartment Up For Sale At Pallabi Near To Pallabi Jhil Jame Mashjid,3.0,3.0,6.0,vacant,1850.0,dhaka,"Pallabi, Mirpur",mirpur,0.98,0.0,1.0,5297.3,medium
A 1420 Sq. Ft Brand New Apartment Which Is Up For Sale At Pallabi Near To Popular Hospital.,3.0,3.0,2.0,vacant,1420.0,dhaka,"Pallabi, Mirpur",mirpur,0.82,0.0,1.0,5774.65,low
Welcome You A Cozy Apartment Placed In Mirpur Near Eastern Housing,2.0,2.0,4.0,vacant,850.0,dhaka,"Pallabi, Mirpur",mirpur,0.33,0.0,1.0,3882.35,medium
Beautiful And Well-constructed Flat Is Ready For Sale At Shahjadpur Nearby Shahjadpur Model Government Primary School,3.0,3.0,7.0,vacant,1475.0,dhaka,"Shahjadpur, Badda",badda,1.56,0.0,1.0,10576.27,medium
Impressive Flat Of 1375 Sq Ft Is Up For Sale In Shahjadpur Near Eidgah Mosque,3.0,3.0,4.0,vacant,1375.0,dhaka,"Shahjadpur, Badda",badda,1.46,0.0,1.0,10618.18,medium
Get Comfortable In A Flat For Sale In Paikpara Nearby Paikpara Jame Mosjid,3.0,2.0,1.0,vacant,1050.0,dhaka,"Paikpara, Mirpur",mirpur,0.44,0.0,1.0,4190.48,low
"Create Your New Home In A Flat For Sale In Mirpur, Near Pallabi Mohila Degree College",2.0,2.0,2.0,vacant,905.0,dhaka,"Section 12, Mirpur",mirpur,0.41,0.0,1.0,4530.39,low
We Have A Ready Flat For Sale In Mirpur Nearby Mirpur Adhunik Hospital,2.0,2.0,2.0,vacant,850.0,dhaka,"Section 12, Mirpur",mirpur,0.38,0.0,1.0,4470.59,low
Get Comfortable In A Flat For Sale In Faydabad Nearby Faidabad Central Eidgah Maidan,2.0,2.0,2.0,vacant,600.0,dhaka,"Faydabad, Dakshin Khan",dakshin khan,0.29,0.0,1.0,4833.33,low
1422 Sq Ft Residential Space Is For Sale At Badda,3.0,3.0,1.0,vacant,1422.0,dhaka,"Jagannathpur, Badda",badda,0.98,0.0,1.0,6891.7,low
Your Desired 3-Bedroom Home In Uttar Badda Very Near To Sadhinata Sarani Ideal School Is Now Vacant For Sale,3.0,2.0,6.0,vacant,1200.0,dhaka,"Uttar Badda, Badda",badda,0.6,0.0,1.0,5000.0,medium
