Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Location,location_area,Price_in_Cr
Flat For Sale Covering A Beautiful Area In West Agargaon Nearby Momataj Memorial High School,3.0,3.0,1,vacant,1400.0,dhaka,"West Agargaon, Agargaon",agargaon,0.85
Residential Apartment Is For Sale In Mirpur Nearby Baitul Jannah Jame Masjid And Madrasha Complex,3.0,3.0,1,vacant,1050.0,dhaka,"Section 6, Mirpur",mirpur,0.47
A Commercial Building Is Up For Sale Which Is Located In Mirpur Nearby Mirpur Adhunik Hospital,,,6,vacant,16000.0,dhaka,"Section 12, Mirpur",mirpur,12.0
Nice 1240 Sq Ft Flat Is Available For Sale In Dakkhin Paikpara,3.0,3.0,8,vacant,1240.0,dhaka,"Dakkhin Paikpara, Mirpur",mirpur,0.87
1504 Sq Ft Flat Is For Sale In The Thriving Arena Of Keraniganj,3.0,3.0,1,vacant,1504.0,dhaka,Keraniganj,,0.71
Find 750 Sq Ft Flat Available For Sale In Kadamtali,2.0,2.0,5,vacant,750.0,dhaka,"Kadamtali, Shyampur",shyampur,0.4
"Buy This Nice 750 Sq Ft Flat In Kadamtali, To Fulfill Your Wish",2.0,2.0,7,vacant,750.0,dhaka,"Kadamtali, Shyampur",shyampur,0.35
2.75 Katha Residential Plot For Sale In Mirpur-11,,,,vacant,1980.0,dhaka,"Section 11, Mirpur",mirpur,1.8
Worthy 1585 SQ FT residence is for sale at Aftab Nagar,3.0,5.0,2,vacant,1585.0,dhaka,"Block C, Aftab Nagar",aftab nagar,1.4
1485 Sq ft Apartment with 3 bedrooms For Sale in Mohammadpur,3.0,3.0,8,vacant,1485.0,dhaka,"Jahuri Moholla, Mohammadpur",mohammadpur,1.32
"1545 Sq Ft Flat With 3 Modest Bedrooms For Sale In Mirpur-2, Block C",3.0,3.0,5,vacant,1545.0,dhaka,"Section 2, Mirpur",mirpur,1.4
Completely suitable and ready flat of 1050 SQ FT for Sale in Kallyanpur,3.0,3.0,6,vacant,1050.0,dhaka,"Kallyanpur, Mirpur",mirpur,0.82
A Residential Building Of 5600 Sq Ft With 2.5 Katha Land Is Available For Sale In East Shewrapara,16.0,10.0,,vacant,5600.0,dhaka,"East Shewrapara, Mirpur",mirpur,3.25
"Near Rampura Thana, 900 Sq.ft And 2 Bedroom Flat For Sale In West Rampura",2.0,2.0,5,vacant,900.0,dhaka,"West Rampura, Rampura",rampura,0.41
1340 Sq.ft Apartment Is For Sale Close To Muslim para Jame Masjid At Madhya Ajampur,3.0,3.0,3,vacant,1340.0,dhaka,"Madhya Ajampur, Dakshin Khan",dakshin khan,0.62
"1400 Sq Ft Flat With 3 Bedrooms Is Up For Sale In Mohammadpur, Mohammadia Housing Society",3.0,3.0,7,vacant,1400.0,dhaka,"Mohammadia Housing Society, Mohammadpur",mohammadpur,1.15
A Nicely Build 1275 Sq Ft And 3 Bedroom Apartment Is Vacant For Sale In Uttar Badda .,3.0,3.0,3,vacant,1275.0,dhaka,"Uttar Badda, Badda",badda,0.8
"Spacious Office Space Of 1245 Sq Ft Is Waiting For sale In Block C, Niketan",,,3,vacant,1245.0,dhaka,"Block C, Niketan",niketan,1.55
"An Apartment Is Up For Sale In Ibrahimpur, Near Ibrahimpur Central Jame Masjid.",2.0,2.0,5,vacant,1050.0,dhaka,"North Ibrahimpur, Ibrahimpur",ibrahimpur,0.48
A Decent Apartment In Mohakhali Near Jabala ICDDRB Is Up For Sale,2.0,2.0,5,vacant,850.0,dhaka,"Dakhshin Para, Mohakhali",mohakhali,0.55
Flat For Sale In West Agargaon Nearby Bangladesh Public Service Commission,3.0,4.0,2,vacant,1440.0,dhaka,"West Agargaon, Agargaon",agargaon,0.73
"You Can Move Into This Well Planned And Comfortable Residential Flat In Uttara Sector 11 For Sale , Of 948 Sq Ft, Near Shaheed Monsur Ali Medical College And Hospital",2.0,3.0,5,vacant,948.0,dhaka,"Sector 11, Uttara",uttara,0.7
Stunning 2644 Square Feet Apartment For Sale In Gulshan 1,4.0,4.0,5,vacant,2644.0,dhaka,"Gulshan 1, Gulshan",gulshan,3.5
Convenient 800 Square Feet Apartment For Sale In Dhanmondi,2.0,2.0,6,vacant,800.0,dhaka,"North Circular Road, Dhanmondi",dhanmondi,0.7
A 2000 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Bashundhara R-a,4.0,4.0,5,vacant,2000.0,dhaka,"Block B, Bashundhara R-A",bashundhara,2.2
"1593 Sq Ft Nicely Planned Apartment Is Available For Sale In Lalmatia, Block B",3.0,3.0,4,vacant,1593.0,dhaka,"Block B, Lalmatia",lalmatia,2.15
A 1220 Sq Ft Home Is Available To Sale In West Shewrapara,3.0,2.0,6,vacant,1220.0,dhaka,"West Shewrapara, Mirpur",mirpur,0.5
1040 Sq Ft Properly Developed Flat For Sale In Rajanigandha Residential Area,2.0,2.0,1,vacant,1040.0,dhaka,"Section 15, Mirpur",mirpur,0.65
"A 1620 Sq Ft Residential Apartment For Sale, In Block C, Khilgaon",3.0,3.0,4,vacant,1620.0,dhaka,"Block C, Khilgaon",khilgaon,1.65
Flat For Sale Covering A Beautiful Area In Bashundhara R-a Nearby Basundhara Residential Area Puja Mondop.,3.0,3.0,4,vacant,1550.0,dhaka,"Block I, Bashundhara R-A",bashundhara,1.45
"1000 Sq Ft Apartment For Sale In Pallabi, Mirpur",2.0,2.0,5,vacant,1000.0,dhaka,"Pallabi, Mirpur",mirpur,0.55
"We Offer You An Excellent And Spacious Commercial Space Of 1840 Sq Ft At Tejgaon, For Sale",,,3,vacant,1840.0,dhaka,"Hatir Jheel Link Road, Tejgaon",tejgaon,4.6
A Standard Apartment In Mirpur Near To M.A Zabbar Memorial High School Is Up For Sale,2.0,2.0,2,vacant,740.0,dhaka,"Pirerbag, Mirpur",mirpur,0.4
An Attractively Designed 1250 Sq Ft Apartment For Sale In Mirpur Section 10,3.0,3.0,6,vacant,1250.0,dhaka,"Section 10, Mirpur",mirpur,0.78
"Buy This Modest 1430 Sq Ft Flat In Bashundhara R-a, Block J",3.0,3.0,5,vacant,1430.0,dhaka,"Block J, Bashundhara R-A",bashundhara,1.2
Celebrate Life Each Day In Your New Apartment Of 1690 Sq Ft At Boro Maghbazar With Your Beloved Family,3.0,3.0,1,vacant,1690.0,dhaka,"Boro Maghbazar, Maghbazar",maghbazar,1.48
A 1330 Square Ft. Apartment Is For Sale At Banasree,3.0,3.0,1,vacant,1330.0,dhaka,"Block B, Banasree",banasree,0.79
An Impressive 1230 Sq Ft Residential Apartment Is Up For Sale In The Center Of East Shewrapara Near To Jheelpar Jame Masjid,3.0,3.0,2,vacant,1230.0,dhaka,"East Shewrapara, Mirpur",mirpur,0.74
An Apartment Of 1700 Sq Ft Is Ready For Sale At Uttara,3.0,3.0,7,vacant,1700.0,dhaka,"Sector 7, Uttara",uttara,1.7
"1300 Sq Ft Residential Apartment Is Up For Sale At Uttara, Sector 10",3.0,3.0,6,vacant,1300.0,dhaka,"Sector 10, Uttara",uttara,0.8
A Convenient 1175 Sq Ft Residential Apartment Is Prepared For Sale At South Pirerbag,3.0,2.0,6,vacant,1175.0,dhaka,"Pirerbag, Mirpur",mirpur,0.63
"In East Monipur , 1265 Square Feet Apartment Is For Sale.",3.0,3.0,6,vacant,1265.0,dhaka,"East Monipur, Mirpur",mirpur,0.85
"Residential Apartment For Sale in Tipu Sultan Road, Middle Pirerbag",3.0,2.0,7,vacant,1000.0,dhaka,"Pirerbag, Mirpur",mirpur,0.57
A Delightful Apartment Of 1554 Sq Ft Is Ready For Sale In A Great Location Of Pallabi,3.0,3.0,1,vacant,1554.0,dhaka,"Pallabi, Mirpur",mirpur,1.15
1570 Sq Ft Flat For Sale In Imandipur Road near Imandipur Government Primary School,3.0,3.0,8,vacant,1570.0,dhaka,"Imandipur, Savar",savar,0.56
Visit This Apartment For Sale In East Monipur Near Life Aid Specialized Hospital Pvt. Ltd.,3.0,2.0,5,vacant,1050.0,dhaka,"East Monipur, Mirpur",mirpur,0.45
Check This Nice 815 Sq Ft Flat For Sale At East Monipur Nearby Monipur Baitur Rowshon Jame Masjid,2.0,2.0,6,vacant,815.0,dhaka,"East Monipur, Mirpur",mirpur,0.42
Stunning 2553 Square Feet Apartment For Sale In Uttara 5,4.0,5.0,7,vacant,2553.0,dhaka,"Sector 5, Uttara",uttara,3.8
Commodious 1590 Sq Ft Flat For Sale In Banasree,3.0,3.0,6,vacant,1590.0,dhaka,"Block B, Banasree",banasree,1.12
"2000 Sq Ft Flat For Sale In Banasree, Block A",4.0,4.0,4,vacant,2000.0,dhaka,"Block A, Banasree",banasree,2.15
"Grab This 800 Square Feet Apartment For Sale In Bashundhara, Block J",2.0,2.0,4,vacant,800.0,dhaka,"Block J, Bashundhara R-A",bashundhara,0.86
We Are Offering You A Very Spacious 1960 Sq Ft Flat For Sale In Gulshan 1,3.0,4.0,3,vacant,1960.0,dhaka,"Gulshan 1, Gulshan",gulshan,3.9
Valuable 1705 Square Feet Apartment Is Ready To Sale In Kalabagan,3.0,3.0,1,vacant,1705.0,dhaka,"Lake Circus Road, Kalabagan",kalabagan,1.69
1370 square feet apartment is ready to sale in Shukrabad,3.0,3.0,6,vacant,1370.0,dhaka,"Shukrabad, Dhanmondi",dhanmondi,1.25
"2125 Square Feet Apartment For Sale In Bashundhara R-a, Block L",3.0,3.0,4,vacant,2125.0,dhaka,"Block L, Bashundhara R-A",bashundhara,2.0
