Title,Bedrooms,Bathrooms,Floor_no,Occupancy_status,Floor_area,City,Location,location_area,Price_in_Cr
Check This 1250 Sq.ft -3 Bedroom Apartment Up For Sale At Cantonment Very Near To Manikdi Islamia Senior Madrasha.,3.0,3.0,3,vacant,1250.0,dhaka,"Manikdi, Cantonment",cantonment,0.5
2450 Square Feet Residential Apartment Up For Sale At Uttara -11.,4.0,4.0,9,vacant,2450.0,dhaka,"Sector 11, Uttara",uttara,3.1
"Plan To Move In This 1300 Sq Ft Flat Which Is For Sale In Mirbag Notun Rasta, Maghbazar",3.0,3.0,7,vacant,1300.0,dhaka,"Mirbag Notun Rasta, Maghbazar",maghbazar,1.1
"Look At This Nice 1200 Sq Ft Flat Is Up For Sale At Section 1, Mirpur",3.0,3.0,6,vacant,1200.0,dhaka,"Section 1, Mirpur",mirpur,0.87
"A 1450 Sq Ft Flat Is Up For Sale In A Well Secured Location Of Block H, Banasree",3.0,3.0,9,vacant,1450.0,dhaka,"Block H, Banasree",banasree,1.15
1450 Sq Ft Vacant Flat For Family Is Ready For Sale At Uttara Close To North Tower,3.0,3.0,5,vacant,1450.0,dhaka,"Sector 10, Uttara",uttara,0.95
View This 1680 Sq Ft Ready Flat For Sale In Khilkhet,3.0,3.0,6,vacant,1680.0,dhaka,"Dorji Bari Road, Khilkhet",khilkhet,0.84
"A Perfect Flat Of 1000 Sq Ft For Living With Family Is Available For Sale At Janata Housing, Mirpur",3.0,2.0,3,vacant,1000.0,dhaka,"Section 1, Mirpur",mirpur,0.65
1100 Sq Ft Residential Apartment For Sale In Mirpur 10,3.0,3.0,2,vacant,1100.0,dhaka,"Section 10, Mirpur",mirpur,0.67
1400 Sq Ft Residential Flat For Sale In Mirpur-10,3.0,3.0,2,vacant,1400.0,dhaka,"Section 10, Mirpur",mirpur,0.92
"950 Sq Ft Flat For Sale In East Rampura, Tv Road",3.0,2.0,,vacant,950.0,dhaka,"East Rampura, Rampura",rampura,0.7
Lovely Apartment Of 950 Sq Ft Is Up For Sale In East Rampura,2.0,2.0,4,vacant,950.0,dhaka,"East Rampura, Rampura",rampura,0.67
1150 Sq Feet Flat For Sale Close To Darussalam Government Primary School,3.0,3.0,2,vacant,1150.0,dhaka,"Darussalam, Mirpur",mirpur,0.57
1350 Sq Ft Flat Is Ready To Sale In Mirpur-10,3.0,3.0,1,vacant,1350.0,dhaka,"Section 10, Mirpur",mirpur,1.01
"2050 Square Feet Flat Is Available For Sale In Bashundhara R-a, Block C",4.0,4.0,6,vacant,2050.0,dhaka,"Block C, Bashundhara R-A",bashundhara,2.15
"Picture Yourself, Residing In This Well Constructed And Planned 850 Sq Ft Flat In Mirpur For Sale",2.0,2.0,5,vacant,850.0,dhaka,"West Kazipara, Mirpur",mirpur,0.4
"1120 Sq Ft Flat For Family, Is Ready For Sale At Mirpur",3.0,3.0,1,vacant,1120.0,dhaka,"Section 2, Mirpur",mirpur,0.56
1100 Sq Ft Flat For Sale In Mirpur Section 6,3.0,3.0,5,vacant,1100.0,dhaka,"Section 6, Mirpur",mirpur,0.8
View This Cozy 1100 Square Feet Apartment For Sale In Manikdi,3.0,2.0,3,vacant,1100.0,dhaka,"Manikdi, Cantonment",cantonment,0.5
"Lead Your Life In This 1450 Sq Ft Flat Up For Sale In Badda, Khilbari Tek",3.0,3.0,2,vacant,1450.0,dhaka,"Khilbari Tek, Badda",badda,1.01
Banasree Is Offering You A 1940 Sq Ft Apartment Ready For Sale,4.0,4.0,9,vacant,1940.0,dhaka,"Block J, Banasree",banasree,1.4
Buy This 1350 Sq Ft Apartment Available In Uttar Badda,3.0,3.0,3,vacant,1350.0,dhaka,"Uttar Badda, Badda",badda,0.8
"1322 Sq Ft Nicely Planned Apartment Is Available For Sale In Shahjadpur, Badda",3.0,3.0,4,vacant,1322.0,dhaka,"Shahjadpur, Badda",badda,0.9
"1635 Sq Ft Apartment Is Ready For Sale In Aftab Nagar, Block G",4.0,3.0,1,vacant,1635.0,dhaka,"Block G, Aftab Nagar",aftab nagar,1.06
"1850 Sq Ft Apartment Is Ready For Sale In Aftab Nagar, Block E, Sector 1",3.0,3.0,2,vacant,1850.0,dhaka,"Block E, Aftab Nagar",aftab nagar,1.48
"Pick This 1325 Sq Ft Apartment For Sale In Aftab Nagar, Block F",3.0,3.0,1,vacant,1325.0,dhaka,"Block F, Aftab Nagar",aftab nagar,0.93
5000 Sq Ft Commercial Space For Sale In Shantinagar,,,4,vacant,5000.0,dhaka,"Shantinagar Road, Shantinagar",shantinagar,6.0
"Buy This 1220 Sq Ft Flat In Taltola, Khilgaon",3.0,3.0,5,vacant,1220.0,dhaka,"Taltola, Khilgaon",khilgaon,0.95
Property For Sale In Bashundhara R-A – 2025 Sq Ft Apartment,3.0,4.0,1,vacant,2025.0,dhaka,"Block I, Bashundhara R-A",bashundhara,1.9
"To Live A Secure Life You Can Take This 1275 Sq Ft Flat For Sale At Kallyanpur, Mirpur",3.0,3.0,8,vacant,1275.0,dhaka,"Kallyanpur, Mirpur",mirpur,0.86
"1570 Sq Ft Convenient Apartment Is Here Ready For Sale In Shah Ali Bag, Mirpur",4.0,4.0,7,vacant,1570.0,dhaka,"Section 1, Mirpur",mirpur,1.25
We Are Offering A Reasonably Priced Flat For Sale Which Is Featuring 800 Sq Ft Space In Baitul Aman Housing Society,2.0,2.0,6,vacant,800.0,dhaka,"Baitul Aman Housing Society, Adabor",adabor,0.56
"Get This 950 Sq Ft Flat For Sale In Kazipara, Mirpur",2.0,2.0,8,vacant,950.0,dhaka,"East Kazipara, Mirpur",mirpur,0.61
"Checkout This 1000 Sq Ft Flat Set To Sale In Mirpur, East Kazipara",2.0,2.0,8,vacant,1000.0,dhaka,"East Kazipara, Mirpur",mirpur,0.65
"Deal With This 975 Sq Ft Flat Up For Sale In Kazipara, Mirpur",2.0,2.0,6,vacant,975.0,dhaka,"East Kazipara, Mirpur",mirpur,0.63
"Visit This 1000 Sq Ft Flat, Which Is Up For Sale In Mirpur, East Kazipara",2.0,2.0,6,vacant,1000.0,dhaka,"East Kazipara, Mirpur",mirpur,0.65
"Look At This Nice 980 Sq Ft Flat Is Up For Sale At Section 10, Mirpur",2.0,2.0,3,vacant,980.0,dhaka,"Section 10, Mirpur",mirpur,0.55
"Pursue This 975 Sq Ft Flat Up For Sale In East Kazipara, Mirpur",2.0,2.0,3,vacant,975.0,dhaka,"East Kazipara, Mirpur",mirpur,0.63
"1285 Sq Ft Apartment With 3 Bedrooms For Sale In Banasree, Block D",3.0,3.0,2,vacant,1285.0,dhaka,"Block D, Banasree",banasree,1.1
"Grab This Great 1610 Sq Ft Flat Up For Sale In Lalmatia, Block B",3.0,4.0,4,vacant,1610.0,dhaka,"Block B, Lalmatia",lalmatia,2.3
"5 Katha Plot is now available for sale in Purbachal, Sector 22",,,,vacant,3640.0,dhaka,"Sector 22, Purbachal",purbachal,2.4
Get Hold Of This 650 Sq Ft Residential Flat For Sale In Mirpur-6,2.0,2.0,4,vacant,650.0,dhaka,"Section 6, Mirpur",mirpur,0.28
"Live Comfortably In This 1550 Sq Ft Residential Flat, Up For Sale In Mirpur, Baitur Rowshan Jame Masjid Road",3.0,3.0,1,vacant,1550.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.86
"930 Sq Ft Flat For Sale In Mirpur, Middle Monipur, Baitur Rowshan Jame Masjid Road",2.0,2.0,1,vacant,930.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.52
Acquire This 930 Sq Ft With 2 Bedrooms Flat Which Is Up For Sale In Middle Monipur Beside To Baitur Rowshan Jame Masjid .,2.0,2.0,3,vacant,930.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.52
2400 Sq Ft Ready Flat For Sale In Uttara-7,4.0,4.0,9,vacant,2400.0,dhaka,"Sector 7, Uttara",uttara,2.6
"1400 Sq Ft Apartment For Sale In Ak Fazlul Haque Babu Rd, East Kazipara, Mirpur",3.0,3.0,4,vacant,1400.0,dhaka,"East Kazipara, Mirpur",mirpur,0.63
A 5 Katha Residential Plot For Sale At Manda Road,,,,vacant,3600.0,dhaka,"Manda Road, Mugdapara",mugdapara,3.9
"Make this 1310 SQ FT flat your next residing location, which is up for sale in Mirpur",3.0,3.0,7,vacant,1310.0,dhaka,"Kallyanpur, Mirpur",mirpur,0.92
Graceful Flat Of 850 Sq Ft Is Prepared For Sale In Pallabi Eastern Housing.,2.0,2.0,5,vacant,850.0,dhaka,"Pallabi, Mirpur",mirpur,0.25
A Modern Well-planned Flat Of 1256 Sq Ft Is Up For Sale Is Situated In Aftab Nagar,3.0,2.0,5,vacant,1256.0,dhaka,"Block H, Aftab Nagar",aftab nagar,0.65
We Have A 1200 Sq.Ft -3 Bedroom Flat For Sale In Uttar Badda Nearby AMZ Hospital Ltd.,3.0,3.0,9,vacant,1200.0,dhaka,"Uttar Badda, Badda",badda,0.6
Comfortable And Nicely Planned 1530 Sq Ft Flat In Shegunbagicha For Sale,3.0,3.0,9,vacant,1530.0,dhaka,"Topkhana Road, Shegunbagicha",shegunbagicha,1.55
"This 650 Sq Ft Apartment For Sale In Mirpur Section 12, Next To Doctor Muhammad Shahidullah Adarsha Uchcha Madhyamik Bidyapith.",2.0,2.0,4,vacant,650.0,dhaka,"Section 12, Mirpur",mirpur,0.46
"Start a new home, in this 2150 SQ FT apartment for sale in Bashundhara R-A",3.0,3.0,8,vacant,2150.0,dhaka,"Block C, Bashundhara R-A",bashundhara,1.85
1316 Sq Ft Fine Flat Is Now For Sale Which Is In Bashundhara R/a Near To Iub,3.0,4.0,3,vacant,1316.0,dhaka,"Block C, Bashundhara R-A",bashundhara,1.35
A rightly planned 1325 SQ FT flat is found for sale in Mirpur near Islami Bank Hospital,3.0,3.0,5,vacant,1325.0,dhaka,"Section 11, Mirpur",mirpur,0.65
"Make This 1852 Sq Ft Flat For Sale, Your Residing Location, In Bashundhara R/A Near JFP",3.0,3.0,5,vacant,1852.0,dhaka,"Block A, Bashundhara R-A",bashundhara,2.15
1210 Square Feet Apartment Is For Sale At Maghbazar,3.0,3.0,1,vacant,1210.0,dhaka,"Boro Maghbazar, Maghbazar",maghbazar,0.6
1654 SFT Three Bedroom Apartment | Vacant Now | Ready To Move in Uttara,3.0,4.0,5,vacant,1654.0,dhaka,"Sector 18, Uttara",uttara,1.1
"1275 Square Feet Flat Is Available For Sale In Bashundhara R-a, Block J",3.0,3.0,6,vacant,1275.0,dhaka,"Block J, Bashundhara R-A",bashundhara,1.25
"Best Location For Your Office, This 2600 Sq Ft Business Space Is Ready To Sale At Outer Circular Road, Shiddheswari",,,8,vacant,2600.0,dhaka,"Outer Circular Road, Shiddheswari",shiddheswari,4.29
"Dwell In This 1955 Sq Ft Apartment, Which Is Now Up For Sale In Shiddheswari",4.0,4.0,1,vacant,1955.0,dhaka,"Shiddeswari Road, Shiddheswari",shiddheswari,2.52
"1609 Sq Ft Suitable Apartment For Sale In Banasree, Block H",3.0,3.0,2,vacant,1609.0,dhaka,"Block H, Banasree",banasree,1.28
This Flat Is Up For Sale At Shahjadpur Near Bangladesh Institute Of Management Studies,3.0,3.0,6,vacant,1500.0,dhaka,"Shahjadpur, Badda",badda,1.28
1207 SQ FT flat is now for sale in Badda near to Southeast Bank,3.0,3.0,6,vacant,1207.0,dhaka,"Shahjadpur, Badda",badda,1.29
A Fine Flat Is Now For Sale Which Is In Agargaon Near Agargaon Taltola Colony High School &amp; Womens&#039; College,3.0,3.0,5,vacant,1400.0,dhaka,Agargaon,,0.65
An Apartment Is Up For Sale In Kallyanpur.,3.0,3.0,4,vacant,1430.0,dhaka,"Kallyanpur, Mirpur",mirpur,0.86
Flat For Sale In Arambag R/a Near Al Arabia Jame Masjid And Madrasa,3.0,3.0,8,vacant,1310.0,dhaka,"Arambag Residential Area, Mirpur",mirpur,0.72
Check this apartment for sale at Mirpur near Shahidbag Masjid,2.0,2.0,5,vacant,650.0,dhaka,"Section 12, Mirpur",mirpur,0.22
"850 Sq Ft Flat For Sale In Taltola, Khilgaon",2.0,2.0,2,vacant,850.0,dhaka,"Taltola, Khilgaon",khilgaon,0.55
See this amazing office space in Uttara near to City Bank Limited,,,10,vacant,3100.0,dhaka,"Sector 3, Uttara",uttara,4.65
Reasonable 1600 Sq Ft Flat Is Available For Sale In Badda Near To Badda Post Office,4.0,3.0,4,vacant,1600.0,dhaka,"Middle Badda, Badda",badda,1.2
1375 Sq. Ft. flat is now up for sale located in Mirpur DOHS,3.0,3.0,1,vacant,1375.0,dhaka,"Mirpur DOHS, Mirpur",mirpur,1.2
"A Nicely Build 1050 Sq Ft Apartment Is Vacant For Sale In Mirpur, Turag City",2.0,2.0,1,vacant,1050.0,dhaka,"Section 1, Mirpur",mirpur,0.55
Acquire This 130 Sq Ft Shop Which Is Up For Sale In Nikunja 2,,,2,vacant,130.0,dhaka,"Nikunja 2, Nikunja",nikunja,0.42
Be The Owner Of This 1450 Sq Ft Flat Which Is Vacant Now For Sale At West Shewrapara Nearby North South International School,3.0,3.0,9,vacant,1450.0,dhaka,"West Shewrapara, Mirpur",mirpur,0.87
"Situated In West Shewrapara, Near North South International School, A 1400 Sq Ft Apartment Is Up For Sale",3.0,3.0,7,vacant,1400.0,dhaka,"West Shewrapara, Mirpur",mirpur,0.84
"Near Shewrapara Jame Masjid, A Blissful Flat Is Available For Sale In West Shewrapara",3.0,3.0,2,vacant,1180.0,dhaka,"West Shewrapara, Mirpur",mirpur,0.65
"A 780 Sq Ft Flat Can Be Found In Bank Colony For Sale, Near Happy Isle International School",2.0,2.0,3,vacant,780.0,dhaka,"Bank Colony, Savar",savar,0.27
In Mirpur 1100 SQ FT flat is available for sale which is now close to Life Aid Specialized Hospital,3.0,2.0,7,vacant,1100.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.5
Reasonable 1100 SQ FT flat is available for sale in Mirpur near to Life Aid Specialized Hospital,3.0,2.0,5,vacant,1100.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.5
"Choose your destination, 1100 SQ FT flat which is available for sale in Mirpur near to Life Aid Specialized Hospital",3.0,2.0,4,vacant,1100.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.5
Ready 1100 SQ FT flat is now for sale in Mirpur nearby Life Aid Specialized Hospital,3.0,2.0,3,vacant,1100.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.5
1100 SQ FT flat is now for sale in Mirpur near to Life Aid Specialized Hospital,3.0,2.0,3,vacant,1100.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.5
"Get Ready For Your Countless Peaceful Days With This 1096 Sq Ft Flat At 1st Colony, Mirpur Is Up To Sale",3.0,3.0,13,vacant,1096.0,dhaka,"1st Colony, Mirpur",mirpur,0.66
1365 Sq Ft Flat With Important Residential Features Is For Sale In Mirpur-10,3.0,3.0,3,vacant,1365.0,dhaka,"Section 10, Mirpur",mirpur,0.75
1365 Sq Ft Flat With Fine Residential Properties Is For Sale In Mirpur-10,3.0,3.0,5,vacant,1365.0,dhaka,"Section 10, Mirpur",mirpur,0.75
1365 Sq Ft Flat With Modern Residential Approaches Is For Sale In Mirpur-10,3.0,3.0,5,vacant,1365.0,dhaka,"Section 10, Mirpur",mirpur,0.75
A well-constructed 2415 SQ FT flat is for sale in Bashundhara R-A,3.0,4.0,6,vacant,2415.0,dhaka,"Block A, Bashundhara R-A",bashundhara,2.55
"An Adequate And Cozy 810 Sq.Ft Flat Is For Sale At West Kazipara, Near Baitur Rob Jaame Masjid",2.0,2.0,3,vacant,810.0,dhaka,"West Kazipara, Mirpur",mirpur,0.34
"Well-developed Residence up for sale in Bashundhara R-A, of 1550 SQ FT",3.0,3.0,3,vacant,1550.0,dhaka,"Block H, Bashundhara R-A",bashundhara,1.15
Take A Look At This 1050 Square Feet And 3 Bedroom Residential Apartment For Sale At East Monipur Next To Kuwaiti Masjid,3.0,3.0,7,vacant,1050.0,dhaka,"East Monipur, Mirpur",mirpur,0.38
"4200 Sq Ft Flat With Updated Residential Features Is Up For Sale In Bashundhara, Block I",4.0,4.0,4,vacant,4200.0,dhaka,"Block I, Bashundhara R-A",bashundhara,5.04
Express Your Individuality At This 1400 Sq.ft Apartment Which Is Vacant For Sale In The Location Of South Monipur .,3.0,3.0,4,vacant,1400.0,dhaka,"South Monipur, Mirpur",mirpur,0.63
For Selling Purpose This Flat Is Now Vacant In The Location Of South Monipur .,3.0,3.0,9,vacant,1400.0,dhaka,"South Monipur, Mirpur",mirpur,0.63
Buy This Flat At South Monipur For The Ideal Urban Lifestyle You Dream About.,2.0,2.0,6,vacant,1000.0,dhaka,"South Monipur, Mirpur",mirpur,0.45
Close To Mirpur 10 Block C Water Tank A 1518 Square Feet Residential Apartment For Sale,4.0,3.0,6,vacant,1518.0,dhaka,"Section 10, Mirpur",mirpur,1.0
Worthy 1250 SQ FT Nice home is ready for sale at Mirpur 15,4.0,4.0,8,vacant,1250.0,dhaka,"Section 15, Mirpur",mirpur,1.25
2230 Sq Ft Ready Flat For Sale In Bashundhara R-a,4.0,4.0,5,vacant,2230.0,dhaka,"Block I, Bashundhara R-A",bashundhara,1.6
Grab This 1200 Sq Ft Apartment Available For Sale In Joar Sahara,3.0,2.0,3,vacant,1200.0,dhaka,"Lichu Bagan Road, Joar Sahara",joar sahara,0.65
A Newly Constructed Apartment In North Pirerbag Is Available For Sale Which Is 1050 Sq Ft,3.0,3.0,1,vacant,1050.0,dhaka,"Pirerbag, Mirpur",mirpur,0.45
Tastefully Designed This 650 Sq Ft Home Is Now Vacant For Sale In Mirpur,2.0,2.0,2,vacant,650.0,dhaka,"Section 10, Mirpur",mirpur,0.42
Attention Home Finders! A 1400 Sq.ft Flat Is Up For Sale In West Shewrapara Close To North South International School.,3.0,3.0,3,vacant,1400.0,dhaka,"West Shewrapara, Mirpur",mirpur,0.63
Very Next To North South International School 1400 Square Feet Large Apartment Is For Sale At West Shewrapara.,3.0,3.0,5,vacant,1400.0,dhaka,"West Shewrapara, Mirpur",mirpur,0.63
In The Fine Location Of South Monipur A 1000 Sq Ft Apartment Is All Set For Sale,2.0,2.0,2,vacant,1000.0,dhaka,"South Monipur, Mirpur",mirpur,0.45
"A Finely Built 1090 Sq Ft Flat Is Up For Sale In Ali And Nur Real Estate, Mohammadpur",3.0,3.0,3,vacant,1090.0,dhaka,"Ali And Nur Real Estate, Mohammadpur",mohammadpur,0.65
"Plan to move in this 1463 SQ FT flat which is up for sale in Mirpur, 2nd Colony",3.0,3.0,3,vacant,1463.0,dhaka,"2nd Colony, Mirpur",mirpur,0.59
A well-constructed 1650 SQ FT flat is for sale in Bochila,3.0,3.0,1,vacant,1650.0,dhaka,"Bochila, Mohammadpur",mohammadpur,0.75
A 1125 Sq Ft Flat Can Be Found In Dakshin Khan For Sale,3.0,2.0,3,vacant,1125.0,dhaka,"Faydabad, Dakshin Khan",dakshin khan,0.48
A Decent 1125 Sq Ft Flat Which Is Now For Sale In Dakshin Khan,3.0,2.0,3,vacant,1125.0,dhaka,"Faydabad, Dakshin Khan",dakshin khan,0.48
Nice Flat Of 1150 Sq Ft Can Be Found In Dakshin Khan To Sale,3.0,2.0,8,vacant,1150.0,dhaka,"Faydabad, Dakshin Khan",dakshin khan,0.49
This 2 Bedroom Home In Faydabad Is Up For Sale In A Wonderful Neighborhood,2.0,2.0,5,vacant,600.0,dhaka,"Faydabad, Dakshin Khan",dakshin khan,0.26
650 Sq. Ft. Residential Apartment Is On Sale In Mirpur Near Pallabi Police Station,2.0,2.0,5,vacant,650.0,dhaka,"Section 12, Mirpur",mirpur,0.22
Are you in hurry? No worries! You Can Take This 1250 Sq Ft Flat for Sale in East Shewrapara,3.0,3.0,4,vacant,1250.0,dhaka,"East Shewrapara, Mirpur",mirpur,0.9
Buy This 1250 Square Feet Apartment In Baitul Aman Housing Society,3.0,3.0,6,vacant,1250.0,dhaka,"Baitul Aman Housing Society, Adabor",adabor,1.5
"A Rightly Planned 1350 Sq Ft Flat Is Found For Sale In East Hazipara, East Rampura",3.0,3.0,2,vacant,1350.0,dhaka,"East Rampura, Rampura",rampura,1.1
"Dwell In This 1350 Sq Ft Flat Up For Sale In Mohammadpur, Katashur",3.0,3.0,9,vacant,1350.0,dhaka,"Katashur, Mohammadpur",mohammadpur,0.9
This 1250 Sq Ft Well Defined Flat Is Now Vacant To Sale In Pirerbag,3.0,3.0,8,vacant,1250.0,dhaka,"Pirerbag, Mirpur",mirpur,0.7
2500 Square Feet Flat For Sale In Bashundhara R-a,4.0,5.0,7,vacant,2500.0,dhaka,"Block K, Bashundhara R-A",bashundhara,2.25
Best Location Mirpur | Spacious And Bright 3 Bedroom 1100 Sq Ft Apt. | For Sale,3.0,3.0,5,vacant,1100.0,dhaka,"Ahmed Nagar, Mirpur",mirpur,0.61
Promising Under-construction 1100 Sq Ft Apartment For Sale In Mirpur,3.0,3.0,4,vacant,1100.0,dhaka,"Ahmed Nagar, Mirpur",mirpur,0.61
"2500 SFT 4 bed Apartment is ready to sale in Bashundhara R-A, Dhaka",4.0,4.0,6,vacant,2500.0,dhaka,"Block K, Bashundhara R-A",bashundhara,2.25
"1900 Sq Ft Apartment Is Ready For Sale In Adabor, Dhaka Housing Main Road",3.0,4.0,9,vacant,1900.0,dhaka,"Dhaka Housing Main Road, Adabor",adabor,1.24
5000 Sq Ft Office Is Available To Sale In Kathalbagan With Satisfactory Price.,,,1,vacant,5000.0,dhaka,"Free School Street, Kathalbagan",kathalbagan,7.25
"Spacious 5000 Sq Ft Commercial Office For Sale In Free School Street Road, Kathalbagan, Dhaka",,,1,vacant,5000.0,dhaka,"Free School Street, Kathalbagan",kathalbagan,7.25
"1910 Sq Ft Commercial Space For Sale In Banasree, Block J",,,1,vacant,1910.0,dhaka,"Block J, Banasree",banasree,2.29
Visit 1308 Sq Ft Residential Flat For Sale In Mirpur,3.0,3.0,1,vacant,1308.0,dhaka,"Section 2, Mirpur",mirpur,0.66
A Very Well Fitted 2268 Sq Ft Business Space Is Up For Sale In Dhanmondi,,,4,vacant,2268.0,dhaka,"Road No 5, Dhanmondi",dhanmondi,4.7
Here Is A Well Defined Flat Of 780 Sq Ft Waiting For Sale At Rupnagar R/A,2.0,2.0,1,vacant,780.0,dhaka,"Rupnagar R/A, Mirpur",mirpur,0.4
1515 Sq Ft Residential Apartment For Sale In Banasree Block G,3.0,4.0,9,vacant,1515.0,dhaka,"Block G, Banasree",banasree,1.29
Spacious 2500 SFT Commercial Space For Sale In Banasree Block G,,,1,vacant,2500.0,dhaka,"Block G, Banasree",banasree,3.5
Offering You A 1370 Sq Ft Flat For Sale In Mirpur-2,3.0,3.0,1,vacant,1370.0,dhaka,"Section 2, Mirpur",mirpur,0.85
"1260 Square Feet Flat Is Available For Sale In Bashundhara R-a, Block K",3.0,3.0,5,vacant,1260.0,dhaka,"Block K, Bashundhara R-A",bashundhara,1.07
"Grab This 1500 Square Feet Flat Available For Sale In Bashundhara R-a, Block K",3.0,3.0,3,vacant,1500.0,dhaka,"Block K, Bashundhara R-A",bashundhara,1.27
1750 Sq Ft Residential Flat For Sale In Uttara-12,3.0,3.0,2,vacant,1750.0,dhaka,"Sector 12, Uttara",uttara,1.92
1750 Sq Ft Nice Flat For Sale In Uttara-12,3.0,3.0,1,vacant,1750.0,dhaka,"Sector 12, Uttara",uttara,1.92
Offering You A 1070 Sq Ft Flat For Sale In Mohammadi Housing LTD,3.0,3.0,6,vacant,1070.0,dhaka,"Mohammadi Housing LTD., Mohammadpur",mohammadpur,0.75
A 970 Sq.Ft Apartment For sale Is All Set For You In East Bashabo Close To Agrani Bank Limited,3.0,2.0,6,vacant,970.0,dhaka,"East Bashabo, Bashabo",bashabo,0.5
Ready To Move in Dakshin Khan | 1475 SFT 3 bedroom Apt. | Well Maintained,3.0,3.0,9,vacant,1475.0,dhaka,"South Mollartek, Dakshin Khan",dakshin khan,0.88
There Is 3 Bedroom Apartment Up For Sale In The Location Of Adabor Near Baitul Aman Housing Society Jame Mosque.,3.0,2.0,1,vacant,900.0,dhaka,"Baitul Aman Housing Society, Adabor",adabor,0.4
1260 Sft Well Maintained Apartment For Sale At Mirpur Dhaka,3.0,3.0,4,vacant,1260.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.8
"1596 Sq Ft 3 Bed Apt. Is Available To Sale In Khilgaon, Dhaka",3.0,3.0,1,vacant,1596.0,dhaka,"Riazbag, Khilgaon",khilgaon,1.04
Residential Apartment For Sale in Aftab Nagar | 1350 SFT Apt. | Well Maintained,3.0,3.0,2,vacant,1350.0,dhaka,"Block M, Aftab Nagar",aftab nagar,1.08
"1657 Square Feet Residential Flat With 3 Bedrooms For Sale In Uttara, Sector 18",3.0,3.0,2,vacant,1657.0,dhaka,"Sector 18, Uttara",uttara,1.05
980 Sq Ft Apartment Is Ready For Sale At Uttar Badda,2.0,2.0,2,vacant,980.0,dhaka,"Uttar Badda, Badda",badda,0.45
Offering You A 1370 Sq Ft Flat For Sale In Uttar Badda,3.0,3.0,2,vacant,1370.0,dhaka,"Uttar Badda, Badda",badda,0.78
"1420 Sqft Residential Speace Is For Sale, 1st Colony, Mazar Road , Mirpur-1",3.0,3.0,2,vacant,1420.0,dhaka,"1st Colony, Mirpur",mirpur,1.05
"Get Ready To Buy This Ideally Maintained 2456 Sq Ft Apartment Located In Block K, Bashundhara R-A",4.0,4.0,8,vacant,2456.0,dhaka,"Block K, Bashundhara R-A",bashundhara,2.21
"Get A Look At This Lovely Flat For Sale Featuring 2500 Sq Ft In Block K, Bashundhara R-A",4.0,4.0,8,vacant,2500.0,dhaka,"Block K, Bashundhara R-A",bashundhara,2.25
Plan To Move In This 1599 Sq Ft Flat Which Is For Sale In Shahidbag,3.0,3.0,3,vacant,1599.0,dhaka,"Shahidbag, Malibagh",malibagh,1.6
Offering You 2100 Sq Ft Flat For Sale In Pirerbag,8.0,6.0,3,vacant,2100.0,dhaka,"Pirerbag, Mirpur",mirpur,0.55
Well Planned 1348 Sq Ft Flat For Sale In Aftab Nagar,3.0,3.0,1,vacant,1348.0,dhaka,"Block H, Aftab Nagar",aftab nagar,1.12
"Look At This Nice 2225 Sq Ft Flat Is Up For Sale At Block I, Bashundhara R/A",4.0,4.0,3,vacant,2225.0,dhaka,"Block I, Bashundhara R-A",bashundhara,2.35
For Selling Purposes 2255 Square Feet Flat With 3 Balconies Is Available In Uttara-1,3.0,4.0,7,vacant,2255.0,dhaka,"Sector 1, Uttara",uttara,2.2
A 3 Bedroom Apartment Is Up For Sale In Middle Monipur Near Monipur High School And College.,3.0,3.0,5,vacant,1200.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.54
3 Bedroom Apartment Is For Sale In Middle Monipur Near Monipur High School And College.,3.0,3.0,6,vacant,1200.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.54
Visit This Apartment For Sale In Middle Monipur Near Iqra International School,3.0,2.0,2,vacant,1100.0,dhaka,"Middle Monipur, Mirpur",mirpur,0.5
"A Nice Flat Of 1445 Sq Ft Is Ready For Sale In Kachukhet , Near Muslim Modern College",3.0,3.0,2,vacant,1445.0,dhaka,"Muslim Modern College Road, Kachukhet",kachukhet,0.69
Visit This Apartment For Sale In West Shewrapara Near Baitun Noor Jame Masjid,3.0,3.0,4,vacant,1200.0,dhaka,"West Shewrapara, Mirpur",mirpur,0.5
"A Comfortably Planned Flat of 1,150 Sq. Ft. is up for Sale Now In Agargaon",3.0,2.0,8,vacant,1150.0,dhaka,"Kutum Goli, Agargaon",agargaon,0.63
In Agargaon 1150 SQ FT flat is available for sale which is now close to Momtaz Mansion Jame Masjid,3.0,2.0,3,vacant,1150.0,dhaka,"Kutum Goli, Agargaon",agargaon,0.63
